hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.01",3,5,0.9869707141508812,real
Mess3,"a=0.005, x=0.01",4,5,0.9890806808269862,real
Mess3,"a=0.005, x=0.01",5,5,0.986924883501766,real
Mess3,"a=0.005, x=0.01",6,5,0.9861974302016188,real
Mess3,"a=0.005, x=0.01",7,5,0.9829075680381992,real
Mess3,"a=0.005, x=0.01",8,5,0.9747139097239114,real
Mess3,"a=0.005, x=0.01",9,5,0.9725235732153354,real
Mess3,"a=0.005, x=0.01",10,5,0.970966716803744,real
Mess3,"a=0.005, x=0.01",11,5,0.970667559769646,real
Mess3,"a=0.005, x=0.01",12,5,0.973105539814477,real
Mess3,"a=0.005, x=0.01",13,5,0.9743091688245986,real
Mess3,"a=0.005, x=0.01",14,5,0.9744106204587358,real
Mess3,"a=0.005, x=0.01",15,5,0.976233414395665,real
Mess3,"a=0.005, x=0.01",16,5,0.9768069763172252,real
Mess3,"a=0.005, x=0.01",17,5,0.9771716749901184,real
Mess3,"a=0.005, x=0.01",18,5,0.9779599380708384,real
Mess3,"a=0.005, x=0.01",19,5,0.9782137131451836,real
Mess3,"a=0.005, x=0.01",20,5,0.9780726481788702,real
Mess3,"a=0.005, x=0.01",21,5,0.9787452219861588,real
Mess3,"a=0.005, x=0.01",22,5,0.9797309859172773,real
Mess3,"a=0.005, x=0.01",23,5,0.979810227427969,real
Mess3,"a=0.005, x=0.01",24,5,0.9800668315547288,real
Mess3,"a=0.005, x=0.01",25,5,0.9809939145053564,real
Mess3,"a=0.005, x=0.01",26,5,0.9809474058734176,real
Mess3,"a=0.005, x=0.01",27,5,0.9808993631197614,real
Mess3,"a=0.005, x=0.01",0,6,0.9534847613998576,real
Mess3,"a=0.005, x=0.01",1,6,0.9793871042584912,real
Mess3,"a=0.005, x=0.01",2,6,0.984631134690604,real
Mess3,"a=0.005, x=0.01",3,6,0.9858287672004924,real
Mess3,"a=0.005, x=0.01",4,6,0.9859740384118754,real
Mess3,"a=0.005, x=0.01",5,6,0.9861826007662668,real
Mess3,"a=0.005, x=0.01",6,6,0.9849323553180496,real
Mess3,"a=0.005, x=0.01",7,6,0.9817975621954736,real
Mess3,"a=0.005, x=0.01",8,6,0.976015257307259,real
Mess3,"a=0.005, x=0.01",9,6,0.97275276396985,real
Mess3,"a=0.005, x=0.01",10,6,0.9694305342053936,real
Mess3,"a=0.005, x=0.01",11,6,0.9703623940229944,real
Mess3,"a=0.005, x=0.01",12,6,0.9716690642822036,real
Mess3,"a=0.005, x=0.01",13,6,0.9721071865385812,real
Mess3,"a=0.005, x=0.01",14,6,0.9757755624544626,real
Mess3,"a=0.005, x=0.01",15,6,0.9774551099322246,real
Mess3,"a=0.005, x=0.01",16,6,0.9781531440233118,real
Mess3,"a=0.005, x=0.01",17,6,0.9785092870381856,real
Mess3,"a=0.005, x=0.01",18,6,0.9788972943317912,real
Mess3,"a=0.005, x=0.01",19,6,0.9805390654072764,real
Mess3,"a=0.005, x=0.01",20,6,0.98090804145116,real
Mess3,"a=0.005, x=0.01",21,6,0.9818046997409898,real
Mess3,"a=0.005, x=0.01",22,6,0.9822419620521248,real
Mess3,"a=0.005, x=0.01",23,6,0.982370156735472,real
Mess3,"a=0.005, x=0.01",24,6,0.9826596291879068,real
Mess3,"a=0.005, x=0.01",25,6,0.9831663783821514,real
Mess3,"a=0.005, x=0.01",26,6,0.9833717696884596,real
Mess3,"a=0.005, x=0.01",27,6,0.9832974555358036,real
Mess3,"a=0.005, x=0.01",0,7,0.95135554045813,real
Mess3,"a=0.005, x=0.01",1,7,0.9777430206063484,real
Mess3,"a=0.005, x=0.01",2,7,0.9828215612453512,real
Mess3,"a=0.005, x=0.01",3,7,0.984179734905226,real
Mess3,"a=0.005, x=0.01",4,7,0.9867906329658556,real
Mess3,"a=0.005, x=0.01",5,7,0.9857352435736176,real
Mess3,"a=0.005, x=0.01",6,7,0.9851071467499748,real
Mess3,"a=0.005, x=0.01",7,7,0.9832803937408342,real
Mess3,"a=0.005, x=0.01",8,7,0.976036245033112,real
Mess3,"a=0.005, x=0.01",9,7,0.9729671268870762,real
Mess3,"a=0.005, x=0.01",10,7,0.9707137874391648,real
Mess3,"a=0.005, x=0.01",11,7,0.9704925829803696,real
Mess3,"a=0.005, x=0.01",12,7,0.9746595794974594,real
Mess3,"a=0.005, x=0.01",13,7,0.973955280439476,real
Mess3,"a=0.005, x=0.01",14,7,0.9760217604844864,real
Mess3,"a=0.005, x=0.01",15,7,0.978724476428488,real
Mess3,"a=0.005, x=0.01",16,7,0.978869649933861,real
Mess3,"a=0.005, x=0.01",17,7,0.9786364154143208,real
